rank, city, state, pop_2014, pop_2010, change, land_area, density, lat, lon
118 , Akron , Ohio , 197859 , 199110 , −0.63 , 62.0 , 3210 , 41.0805, -81.5214
119 , Little Rock , Arkansas , 197706 , 193524 , +2.16 , 119.2 , 1624 , 34.7254, -92.3586
120 , Amarillo , Texas , 197254 , 190695 , +3.44 , 99.5 , 1917 , 35.1978, -101.8287
121 , Augusta , Georgia , 196741 , 195844 , +0.46 , 302.5 , 647 , 33.3655, -82.0734
122 , Mobile , Alabama , 194675 , 195111 , −0.22 , 139.1 , 1403 , 30.6684, -88.1002
123 , Grand Rapids , Michigan , 193792 , 188040 , +3.06 , 44.4 , 4236 , 42.9612, -85.6556
124 , Salt Lake City , Utah , 190884 , 186440 , +2.38 , 111.1 , 1678 , 40.7785, -111.9314
125 , Huntsville , Alabama , 188226 , 180105 , +4.51 , 209.1 , 862 , 34.7843, -86.539
126 , Tallahassee , Florida , 188107 , 181376 , +3.71 , 100.2 , 1809 , 30.4551, -84.2534
127 , Grand Prairie , Texas , 185453 , 175396 , +5.73 , 72.1 , 2433 , 32.6842, -97.021
128 , Overland Park , Kansas , 184525 , 173372 , +6.43 , 74.8 , 2317 , 38.8890, -94.6906
129 , Knoxville , Tennessee , 184281 , 178874 , +3.02 , 98.5 , 1816 , 35.9709, -83.9465
130 , Brownsville , Texas , 183046 , 175023 , +4.58 , 132.3 , 1323 , 26.0183, -97.4538
131 , Worcester , Massachusetts , 183016 , 181045 , +1.09 , 37.4 , 4845 , 42.2695, -71.8078
132 , Newport News , Virginia , 182965 , 180719 , +1.24 , 68.7 , 2630 , 37.0760, -76.5217
133 , Santa Clarita , California , 181557 , 176320 , +2.97 , 52.7 , 3345 , 34.4049, -118.5047
134 , Providence , Rhode Island , 179154 , 178042 , +0.62 , 18.4 , 9676 , 41.8231, -71.4188
135 , Fort Lauderdale , Florida , 176013 , 165521 , +6.34 , 34.8 , 4761 , 26.1413, -80.1439
136 , Garden Grove , California , 175078 , 170883 , +2.45 , 17.9 , 9525 , 33.7788, -117.9605
137 , Oceanside , California , 174558 , 167086 , +4.47 , 41.2 , 4052 , 33.2246, -117.3062
138 , Rancho Cucamonga , California , 174305 , 165269 , +5.47 , 39.9 , 4147 , 34.1233, -117.5642
139 , Santa Rosa , California , 174170 , 167815 , +3.79 , 41.3 , 4064 , 38.4468, -122.7061
140 , Port St. Lucie , Florida , 174110 , 164603 , +5.78 , 114.0 , 1444 , 27.2810, -80.3838
141 , Chattanooga , Tennessee , 173778 , 167674 , +3.64 , 137.2 , 1223 , 35.0665, -85.2471
142 , Tempe , Arizona , 172816 , 161719 , +6.86 , 39.9 , 4050 , 33.3884, -111.9318
143 , Jackson , Mississippi , 171155 , 173514 , −1.36 , 111.0 , 1563 , 32.3158, -90.2128
144 , Cape Coral , Florida , 169854 , 154305 , +10.08 , 105.7 , 1460 , 26.6431, -81.9973
145 , Vancouver , Washington , 169294 , 161791 , +4.64 , 46.5 , 3483 , 45.6372, -122.5965
146 , Ontario , California , 169089 , 163924 , +3.15 , 49.9 , 3282 , 34.0395, -117.6088
147 , Sioux Falls , South Dakota , 168586 , 153888 , +9.55 , 73.0 , 2109 , 43.5383, -96.732
148 , Peoria , Arizona , 166934 , 154065 , +8.35 , 174.4 , 883 , 33.7877, -112.3111
